%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
3307212000000,322068,3307212000000,world,-1.6353634091,-0.178556316785,1.91441794738,-0.000878152629317,-0.00267272040341,-0.0855476937123,0.996330104691
3307222000000,322069,3307222000000,world,-1.63379979383,-0.178844961674,1.91441761213,-0.000814499446135,-0.00195088238537,-0.0851691945148,0.996364260175
3307232000000,322070,3307232000000,world,-1.63224238792,-0.179131227946,1.9144172703,-0.000757890840641,-0.00130849559971,-0.0847908037938,0.996397627974
3307241000000,322071,3307242000000,world,-1.63068976882,-0.179415368379,1.91441693454,-0.000707797906565,-0.000739604477138,-0.0844124771683,0.99643037173
3307252000000,322072,3307252000000,world,-1.62914066411,-0.179697608309,1.91441661343,-0.000663713444571,-0.000238513670215,-0.084034149437,0.996462625653
3307262000000,322073,3307262000000,world,-1.62759392203,-0.179978150831,1.9144163124,-0.000625100773269,0.000200834911264,-0.0836557783542,0.99649449555
3307272000000,322074,3307272000000,world,-1.62604852372,-0.180257174878,1.91441603449,-0.000591462674127,0.000584058515852,-0.0832773220915,0.996526064222
3307282000000,322075,3307282000000,world,-1.62450637554,-0.180534367377,1.91441580307,-0.000570192429309,0.000822055392124,-0.0828986809062,0.996557478427
3307292000000,322076,3307292000000,world,-1.62297370895,-0.180808698739,1.91441567439,-0.000579756439589,0.000691213131467,-0.0825196032558,0.996589033246
3307303000000,322077,3307302000000,world,-1.62144084785,-0.18108180071,1.91441557062,-0.000592402065925,0.000523898434041,-0.0821403387959,0.996620459018
3307312000000,322078,3307312000000,world,-1.61990606238,-0.181353963533,1.91441547268,-0.000602421823235,0.000389064287605,-0.0817609069144,0.996651714401
3307322000000,322079,3307322000000,world,-1.61837008417,-0.18162506676,1.9144153836,-0.000611118457551,0.000271019725144,-0.081381302823,0.996682816463
3307332000000,322080,3307332000000,world,-1.61683332572,-0.181895043817,1.91441530476,-0.000618991718401,0.000163640299537,-0.0810015229806,0.996713772026
3307342000000,322081,3307342000000,world,-1.61529600248,-0.18216386086,1.91441523611,-0.000626055223731,6.67084626602e-05,-0.0806215718999,0.996744584008
